# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "data/yeast.gtf" "-o" "outputs/final_counts_matrix.txt" "outputs/STAR_alignment_results/yeastAligned.sortedByName.out.bam" 
Geneid	Chr	Start	End	Strand	Length	outputs/STAR_alignment_results/yeastAligned.sortedByName.out.bam
NM_001180429.3	chrIV	693585	694175	+	591	1
NM_001180430.1	chrIV	694700	697894	+	3195	6
NM_001180431.1	chrIV	698554	699468	-	915	2
NM_001180432.3	chrIV	700315	701289	+	975	2
NM_001180433.3	chrIV	701397	702758	-	1362	2
NM_001180434.1	chrIV	703234	704244	+	1011	0
NM_001180435.1	chrIV	704484	709250	+	4767	14
NM_001180436.3	chrIV	709549	712995	+	3447	0
NM_001180437.3	chrIV;chrIV	713340;715359	715247;715379	-;-	1929	18
NM_001180438.1	chrIV	715747	716622	-	876	0
NM_001180439.1	chrIV	716790	718460	-	1671	0
NM_001180440.3	chrIV	718816	720303	-	1488	0
NM_001180442.3	chrIV	723004	727551	-	4548	14
NM_001180444.1	chrIV	728259	730250	+	1992	2
NM_001180445.1	chrIV	730578	732836	+	2259	2
NM_001180446.3	chrIV;chrIV	733618;733776	733702;733924	-;-	234	1
NM_001180447.3	chrIV	734138	734803	+	666	0
NM_001180448.1	chrIV	734901	739997	-	5097	2
NM_001180449.1	chrIV	740473	741600	-	1128	3
NM_001180450.3	chrIV	742042	743874	-	1833	1
NM_001180451.3	chrIV	744311	746101	-	1791	4
NM_001180452.1	chrIV	746738	748357	+	1620	1
NM_001180453.1	chrIV	748613	750742	-	2130	4
NM_001180454.3	chrIV	751631	753235	+	1605	2
NM_001180455.3	chrIV	753675	755066	-	1392	9
NM_001180457.1	chrIV	755628	763874	+	8247	4
NM_001180458.1	chrIV	764178	765155	-	978	2
NM_001180459.3	chrIV	765706	766503	+	798	8
NM_001180460.3	chrIV	766736	767971	-	1236	4
NM_001180462.1	chrIV	768512	769000	-	489	26
NM_001180463.1	chrIV	769525	769938	+	414	0
NM_001348811.1	chrIV	769931	770332	+	402	0
NM_001180465.3	chrIV	770357	771454	+	1098	14
NM_001180466.3	chrIV	771877	775782	+	3906	0
NM_001180467.1	chrIV	776163	778721	+	2559	0
NM_001180468.1	chrIV	779043	780206	+	1164	10
NM_001180469.3	chrIV	780390	781100	-	711	6
NM_001180470.3	chrIV	781423	781950	+	528	0
NM_001180471.1	chrIV	782041	784215	-	2175	6
NM_001180472.1	chrIV	784871	786205	+	1335	6
NM_001180474.3	chrIV	789449	790069	+	621	4
NM_001180475.1	chrIV	790328	791848	+	1521	6
NM_001180476.1	chrIV	792348	793889	-	1542	2
NM_001184544.3	chrIV	794574	794723	-	150	0
NM_001180477.3	chrIV	796193	802222	-	6030	4
NM_001184320.1	chrIV	803195	804517	+	1323	4
NM_001180478.1	chrIV	806621	807748	+	1128	0
NM_001180479.3	chrIV	808324	810381	+	2058	22
NM_001180480.3	chrIV	810565	811632	-	1068	0
NM_001180481.1	chrIV	812110	812850	+	741	15
NM_001180482.1	chrIV	813193	814152	-	960	8
NM_001180483.3	chrIV	814452	816560	+	2109	2
NM_001180484.3	chrIV	816878	817525	+	648	9
NM_001180485.1	chrIV	817950	818495	+	546	4
NM_001180486.1	chrIV	818708	819196	-	489	4
NM_001180487.3	chrIV	819433	820824	+	1392	2
NM_001180488.3	chrIV	821295	825776	+	4482	0
NM_001180489.1	chrIV	825910	827355	-	1446	2
NM_001180490.1	chrIV	827582	829057	+	1476	3
NM_001184545.3	chrIV	829151	829354	+	204	0
NM_001180491.3	chrIV	829585	830277	+	693	0
NM_001180492.1	chrIV	830629	831513	-	885	2
NM_001180493.1	chrIV	831934	832473	-	540	0
NM_001180494.3	chrIV	832859	835492	-	2634	6
NM_001180496.3	chrIV	836421	838061	+	1641	24
NM_001180497.1	chrIV	838392	840392	+	2001	4
NM_001180498.1	chrIV	840604	841995	-	1392	14
NM_001180499.3	chrIV	842337	843449	+	1113	0
NM_001180500.3	chrIV	843569	844861	-	1293	4
NM_001180502.1	chrIV	845952	847946	-	1995	16
NM_001184546.1	chrIV	848071	848223	+	153	0
NM_001180503.3	chrIV	848599	850200	+	1602	2
NM_001180504.3	chrIV	850274	850999	-	726	2
NM_001180505.1	chrIV	851228	852397	+	1170	2
NM_001180506.1	chrIV	852533	853972	-	1440	0
NM_001180508.3	chrIV	854279	856093	-	1815	6
NM_001180509.3	chrIV	856317	856814	+	498	0
NM_001180510.1	chrIV	856898	857953	-	1056	2
NM_001180512.1	chrIV	858137	859144	+	1008	4
NM_001180513.3	chrIV	859346	861520	+	2175	2
NM_001180514.3	chrIV	862054	864708	+	2655	12
NM_001180515.1	chrIV	865012	867522	-	2511	0
NM_001180516.1	chrIV	868224	870563	+	2340	6
NM_001348813.1	chrIV	871036	871449	-	414	1
NM_001180518.3	chrIV	871074	871301	+	228	0
NM_001184418.1	chrIV	872112	873428	+	1317	0
NM_001184419.4	chrIV;chrIV	872112;873406	873404;877425	+;+	5313	0
NM_001184436.2	chrIV;chrIV	878659;882623	882621;883927	-;-	5268	0
NM_001184435.3	chrIV	882605	883927	-	1323	0
NM_001180519.3	chrIV	884727	886865	+	2139	14
NM_001180520.1	chrIV	887232	888911	+	1680	6
NM_001180521.1	chrIV	889751	892492	+	2742	0
NM_001180522.3	chrIV	892875	893927	+	1053	10
NM_001348814.1	chrIV	894089	894502	-	414	0
NM_001180524.3	chrIV	895035	899006	+	3972	2
NM_001180525.1	chrIV	899551	903480	-	3930	8
NM_001180526.1	chrIV	903781	905052	-	1272	0
NM_001180527.3	chrIV	905455	906852	-	1398	2
NM_001180529.3	chrIV	907330	909438	+	2109	2
NM_001180530.1	chrIV	910054	911301	+	1248	4
NM_001180531.1	chrIV	912099	913502	+	1404	4
NM_001180532.3	chrIV	914317	914712	-	396	48
NM_001180533.3	chrIV	915530	915928	+	399	20
NM_001180534.1	chrIV	916486	917154	+	669	12
NM_001180535.1	chrIV	917571	921647	+	4077	6
NM_001180536.3	chrIV	921926	923806	-	1881	0
NM_001180537.3	chrIV	924785	926146	+	1362	4
NM_001180539.1	chrIV	926293	926910	-	618	6
NM_001180540.1	chrIV	927452	929098	+	1647	6
NM_001180541.3	chrIV	929470	930357	-	888	22
NM_001180542.3	chrIV	931129	933210	+	2082	30
NM_001180543.1	chrIV	933504	935138	+	1635	2
NM_001180544.1	chrIV	935236	935892	-	657	2
NM_001180545.3	chrIV	936615	937493	+	879	2
NM_001180546.3	chrIV	937895	940816	-	2922	16
NM_001180547.1	chrIV	941057	943420	-	2364	0
NM_001180548.1	chrIV	943674	945152	-	1479	8
NM_001180550.3	chrIV	946807	948456	+	1650	1
NM_001180551.3	chrIV	948518	950284	-	1767	1
NM_001180552.1	chrIV	950563	952401	+	1839	0
NM_001180553.1	chrIV	952800	953981	+	1182	7
NM_001180554.3	chrIV	954288	954947	+	660	6
NM_001184547.3	chrIV	955133	955333	+	201	0
NM_001180555.1	chrIV	956013	957398	+	1386	2
NM_001180556.1	chrIV	957758	958339	-	582	2
NM_001180557.3	chrIV	958681	959802	-	1122	0
NM_001180559.3	chrIV	960614	963106	+	2493	2
NM_001180560.1	chrIV	963412	963861	+	450	0
NM_001180561.1	chrIV	963990	964565	-	576	0
NM_001180562.3	chrIV	965113	966489	+	1377	0
NM_001180563.3	chrIV	966557	967822	-	1266	6
NM_001180564.1	chrIV	968133	969680	-	1548	0
NM_001180565.1	chrIV	969990	971474	-	1485	3
NM_001180566.3	chrIV	971808	974243	-	2436	2
NM_001180567.3	chrIV	974631	975782	-	1152	0
NM_001180568.1	chrIV	976717	977229	-	513	2
NM_001180569.1	chrIV	977521	979209	-	1689	0
NM_001184422.3	chrIV	981462	982778	+	1317	0
NM_001184423.4	chrIV;chrIV	981462;982756	982754;986775	+;+	5313	4
NM_001184421.2	chrIV;chrIV	987534;991045	991043;992349	-;-	4815	0
NM_001184420.1	chrIV	991027	992349	-	1323	0
NM_001180570.3	chrIV	993134	993952	+	819	2
NM_001180571.3	chrIV	994242	995534	-	1293	0
NM_001180572.1	chrIV	996029	998323	-	2295	6
NM_001180573.1	chrIV	998864	999877	+	1014	4
NM_001180574.3	chrIV	1000104	1002023	-	1920	4
NM_001180575.3	chrIV	1002510	1003502	-	993	2
NM_001180576.1	chrIV	1004004	1005143	+	1140	1
NM_001180578.1	chrIV	1005675	1008689	+	3015	0
NM_001180580.3	chrIV	1009010	1009834	+	825	4
NM_001180581.3	chrIV	1010176	1011273	+	1098	0
NM_001348815.1	chrIV	1011589	1011960	-	372	0
NM_001180583.1	chrIV	1012252	1012959	+	708	0
NM_001180584.1	chrIV	1013476	1013643	-	168	19
NM_001180585.3	chrIV	1014401	1015702	-	1302	0
NM_001348816.1	chrIV	1017001	1017318	-	318	0
NM_001180587.3	chrIV	1019368	1020420	+	1053	2
NM_001180588.1	chrIV	1020747	1021664	+	918	6
NM_001180589.1	chrIV	1022007	1022321	-	315	0
NM_001180590.3	chrIV	1023511	1024755	-	1245	0
NM_001180591.3	chrIV	1025070	1030049	-	4980	0
NM_001180592.1	chrIV	1030550	1031419	-	870	6
NM_001180593.1	chrIV	1032436	1035063	+	2628	2
NM_001180594.3	chrIV	1035231	1035575	-	345	0
NM_001180595.3	chrIV	1035995	1036873	+	879	0
NM_001180596.1	chrIV	1037195	1038106	+	912	2
NM_001180597.1	chrIV	1038280	1039509	-	1230	3
NM_001180599.3	chrIV	1039728	1042961	+	3234	6
NM_001180600.3	chrIV	1043146	1045011	-	1866	2
NM_001180602.1	chrIV	1050459	1052228	-	1770	4
NM_001180603.3	chrIV	1052623	1054647	-	2025	0
NM_001180604.3	chrIV	1055212	1055892	+	681	0
NM_001180605.1	chrIV	1056551	1057600	+	1050	5
NM_001180606.1	chrIV	1058176	1058814	-	639	19
NM_001180607.3	chrIV	1059627	1061231	+	1605	18
NM_001180608.3	chrIV	1061505	1062791	-	1287	2
NM_001180609.1	chrIV	1063352	1067425	+	4074	2
NM_001180610.1	chrIV	1067731	1068390	+	660	2
NM_001180611.3	chrIV	1068729	1071386	-	2658	0
NM_001180612.3	chrIV	1071880	1072557	-	678	6
NM_001180613.1	chrIV;chrIV	1072746;1073402	1073312;1073488	-;-	654	2
NM_001180614.1	chrIV	1073735	1075171	-	1437	2
NM_001180615.3	chrIV	1075865	1077853	+	1989	0
NM_001180616.3	chrIV	1078027	1078449	-	423	1
NM_001180617.1	chrIV	1079048	1080199	-	1152	6
NM_001180618.1	chrIV	1081128	1084316	-	3189	0
NM_001180619.3	chrIV	1085065	1086993	+	1929	6
NM_001180620.3	chrIV	1087581	1088942	+	1362	4
NM_001180621.1	chrIV	1089219	1090079	-	861	0
NM_001180622.1	chrIV	1090433	1092511	-	2079	0
NM_001180623.3	chrIV	1092741	1093586	-	846	0
NM_001180624.3	chrIV	1093763	1095178	+	1416	6
NM_001184424.1	chrIV	1096064	1097386	+	1323	0
NM_001184425.2	chrIV;chrIV	1096064;1097370	1097368;1101332	+;+	5268	0
NM_001180625.3	chrIV	1102184	1103428	+	1245	0
NM_001180626.3	chrIV;chrIV	1103758;1103893	1103809;1104947	+;+	1107	0
NM_001180627.1	chrIV	1105003	1105827	-	825	0
NM_001180628.1	chrIV	1106095	1108101	-	2007	6
NM_001184470.3	chrIV	1108280	1108498	-	219	0
NM_001180629.3	chrIV	1108702	1109847	+	1146	2
NM_001180630.1	chrIV	1110589	1111692	+	1104	2
NM_001184348.1	chrIV	1112003	1112293	-	291	11
NM_001180631.3	chrIV	1112480	1114027	-	1548	0
NM_001180632.3	chrIV	1114433	1116763	-	2331	10
NM_001180633.1	chrIV	1117126	1120233	+	3108	2
NM_001180634.1	chrIV	1120609	1124925	-	4317	4
NM_001180636.3	chrIV	1125434	1126018	-	585	4
NM_001180637.3	chrIV	1126270	1127595	-	1326	0
NM_001180638.1	chrIV	1127872	1129374	+	1503	0
NM_001180639.1	chrIV	1129588	1130823	+	1236	0
NM_001180640.3	chrIV	1131001	1133070	+	2070	0
NM_001180641.3	chrIV	1133260	1135431	-	2172	0
NM_001180642.1	chrIV	1135932	1140476	+	4545	2
NM_001180643.1	chrIV	1141168	1144842	+	3675	4
NM_001180644.3	chrIV	1145092	1146036	+	945	2
NM_001180645.3	chrIV	1146319	1147179	+	861	2
NM_001180646.1	chrIV	1147379	1149466	-	2088	2
NM_001180647.1	chrIV	1149951	1150520	-	570	10
NM_001180649.3	chrIV	1151803	1153626	-	1824	24
NM_001180650.3	chrIV	1154216	1155928	-	1713	0
NM_001180651.1	chrIV	1159608	1161320	-	1713	2
NM_001348817.1	chrIV	1162006	1162449	-	444	0
NM_001180653.1	chrIV	1162957	1164660	-	1704	51
NM_001180654.3	chrIV	1167214	1168659	-	1446	4
NM_001180655.3	chrIV	1169178	1170143	+	966	8
NM_001180656.1	chrIV	1170326	1171825	-	1500	6
NM_001180657.1	chrIV	1172386	1174176	-	1791	4
NM_001180658.4	chrIV	1176120	1178174	-	2055	2
NM_001180660.1	chrIV	1181801	1182754	+	954	8
NM_001180661.1	chrIV	1183299	1184258	+	960	16
NM_001180662.3	chrIV	1184747	1185889	+	1143	0
NM_001180664.3	chrIV	1186107	1188941	+	2835	0
NM_001180665.1	chrIV	1189199	1189567	-	369	1
NM_001180666.1	chrIV	1190059	1191732	+	1674	0
NM_001180667.3	chrIV	1191936	1194884	-	2949	4
NM_001180669.3	chrIV	1195412	1196263	-	852	10
NM_001180670.1	chrIV	1196679	1198697	-	2019	0
NM_001180671.1	chrIV	1199183	1200553	+	1371	6
NM_001184328.3	chrIV	1202128	1202397	+	270	2
NM_001180672.3	chrIV	1202843	1204210	-	1368	6
NM_001180673.1	chrIV	1204497	1206383	-	1887	12
NM_001184426.3	chrIV	1206997	1208319	+	1323	0
NM_001184427.2	chrIV;chrIV	1206997;1208303	1208301;1212265	+;+	5268	0
NM_001180674.3	chrIV	1212438	1212836	-	399	0
NM_001180675.1	chrIV;chrIV	1212848;1212979	1212877;1213614	+;+	666	1
NM_001180676.1	chrIV	1213904	1214842	+	939	6
NM_001180677.3	chrIV	1215016	1217580	-	2565	0
NM_001180678.3	chrIV	1217782	1219110	-	1329	2
NM_001180679.1	chrIV	1219413	1220948	+	1536	2
NM_001180680.1	chrIV	1221112	1222149	-	1038	10
NM_001180681.3	chrIV	1222759	1223331	+	573	2
NM_001180682.3	chrIV	1223474	1224394	-	921	0
NM_001184680.1	chrIV	1224757	1225026	+	270	0
NM_001180683.1	chrIV	1225166	1226536	-	1371	4
NM_001180684.3	chrIV	1226822	1228303	+	1482	6
NM_001180685.3	chrIV	1228611	1228916	+	306	20
NM_001180686.1	chrIV	1229349	1229609	-	261	1
NM_001180687.1	chrIV	1230167	1233196	+	3030	6
NM_001184471.3	chrIV	1233278	1233517	-	240	0
NM_001180688.3	chrIV	1234218	1236125	+	1908	0
NM_001180689.1	chrIV;chrIV	1236558;1237609	1236842;1238004	+;+	681	14
NM_001184511.1	chrIV;chrIV	1238312;1238825	1238630;1238850	-;-	345	0
NM_001180690.3	chrIV	1239492	1239824	+	333	44
NM_001180691.3	chrIV	1239960	1240676	-	717	2
NM_001180692.1	chrIV	1241204	1242031	-	828	3
NM_001180693.1	chrIV	1243230	1245758	+	2529	42
NM_001180694.3	chrIV	1246084	1247982	+	1899	0
NM_001180695.3	chrIV	1248154	1249821	-	1668	2
NM_001180696.1	chrIV	1250186	1251634	+	1449	0
NM_001180697.1	chrIV	1252537	1254501	+	1965	2
NM_001180698.3	chrIV	1254937	1256847	-	1911	2
NM_001180699.3	chrIV	1257358	1258056	-	699	2
NM_001180700.1	chrIV	1258696	1259709	+	1014	0
NM_001180701.1	chrIV	1259901	1261271	+	1371	2
NM_001180702.3	chrIV	1261681	1262967	+	1287	12
NM_001180703.3	chrIV	1263324	1266158	+	2835	6
NM_001180705.1	chrIV;chrIV	1266366;1266862	1266769;1266898	-;-	441	17
NM_001180706.1	chrIV	1267471	1269402	+	1932	10
NM_001180707.3	chrIV	1270068	1270733	+	666	37
NM_001180708.3	chrIV	1271063	1272085	+	1023	6
NM_001180710.1	chrIV	1272234	1273703	-	1470	0
NM_001180711.1	chrIV	1274602	1276212	+	1611	0
NM_001180712.3	chrIV	1276654	1277169	-	516	6
NM_001180713.3	chrIV	1277646	1278437	+	792	8
NM_001180714.1	chrIV	1279210	1283799	+	4590	4
NM_001180715.1	chrIV	1284069	1287938	-	3870	2
NM_001180716.3	chrIV	1288215	1288859	-	645	4
NM_001180717.3	chrIV	1289406	1292120	+	2715	2
NM_001180718.1	chrIV	1292372	1293091	-	720	4
NM_001180719.1	chrIV	1293369	1294394	-	1026	2
NM_001180720.3	chrIV	1294693	1295400	+	708	2
NM_001180722.4	chrIV	1295598	1296686	-	1089	0
NM_001180723.1	chrIV	1297037	1298161	-	1125	6
NM_001180724.1	chrIV	1298432	1301011	+	2580	2
NM_001180726.3	chrIV	1301616	1302113	+	498	50
NM_001180727.3	chrIV	1303174	1305072	+	1899	4
NM_001180729.1	chrIV	1312040	1314892	+	2853	2
NM_001180730.3	chrIV	1315326	1317773	-	2448	2
NM_001180731.3	chrIV	1318046	1319275	-	1230	0
NM_001180732.1	chrIV;chrIV;chrIV	1319387;1319698;1319817	1319617;1319720;1319841	-;-;-	279	0
NM_001180733.1	chrIV	1320064	1321941	+	1878	0
NM_001180735.3	chrIV	1322205	1323386	+	1182	8
NM_001180736.3	chrIV	1323454	1324239	-	786	0
NM_001180737.1	chrIV	1324477	1325301	-	825	20
NM_001180738.1	chrIV	1325501	1328470	-	2970	2
NM_001180740.3	chrIV	1328783	1330027	+	1245	13
NM_001180742.3	chrIV	1331237	1332841	+	1605	9
NM_001180743.1	chrIV	1332983	1333969	-	987	0
NM_001180744.1	chrIV	1334821	1336953	+	2133	0
NM_001180745.3	chrIV	1337352	1337774	+	423	4
NM_001180746.3	chrIV	1338274	1339386	+	1113	14
NM_001180747.1	chrIV	1339676	1340719	+	1044	0
NM_001180748.1	chrIV	1342493	1344241	+	1749	0
NM_001180749.3	chrIV	1344517	1345062	-	546	0
NM_001180751.3	chrIV	1345676	1349938	-	4263	0
NM_001180752.1	chrIV	1350290	1352353	+	2064	10
NM_001180754.1	chrIV	1353725	1354633	+	909	0
NM_001180755.3	chrIV;chrIV	1354829;1355551	1355236;1355553	-;-	411	32
NM_001180756.3	chrIV	1356065	1357369	+	1305	4
NM_001180757.1	chrIV	1357580	1358902	-	1323	4
NM_001180758.1	chrIV;chrIV	1359923;1360405	1359969;1360798	+;+	441	58
NM_001180759.3	chrIV	1361120	1362181	-	1062	0
NM_001180760.3	chrIV	1362878	1364902	+	2025	4
NM_001180761.1	chrIV	1365072	1365662	-	591	4
NM_001180762.1	chrIV	1366264	1366827	-	564	16
NM_001180764.3	chrIV	1367485	1369386	+	1902	12
NM_001180765.3	chrIV	1369790	1379596	+	9807	2
NM_001180766.1	chrIV	1380055	1382046	-	1992	5
NM_001180767.1	chrIV	1382319	1383443	-	1125	0
NM_001180768.3	chrIV	1383811	1384776	+	966	2
NM_001180769.3	chrIV	1385176	1385286	+	111	0
NM_001184679.1	chrIV	1385524	1385766	-	243	0
NM_001180770.1	chrIV	1386073	1386516	+	444	2
NM_001180771.3	chrIV	1386816	1388375	+	1560	10
NM_001180772.3	chrIV	1388872	1393179	+	4308	8
NM_001180773.1	chrIV	1393336	1394574	-	1239	13
NM_001180774.1	chrIV	1395121	1397817	+	2697	2
NM_001180776.3	chrIV	1398026	1398700	-	675	1
NM_001180777.3	chrIV	1399015	1399542	+	528	2
NM_001180778.2	chrIV	1399706	1401214	-	1509	4
NM_001180779.1	chrIV;chrIV	1401770;1402185	1401800;1402564	+;+	411	26
NR_132161.1	chrIV	1402919	1403042	+	124	0
NM_001180780.3	chrIV	1403322	1404173	+	852	0
NM_001180781.3	chrIV	1404445	1405854	-	1410	4
NM_001180783.1	chrIV	1407464	1410094	-	2631	8
NM_001180784.1	chrIV	1410453	1411127	-	675	8
NM_001180785.3	chrIV	1412373	1414274	+	1902	8
NM_001180786.3	chrIV	1414575	1415171	+	597	6
NM_001180787.1	chrIV	1415210	1416874	-	1665	4
NM_001180788.1	chrIV	1417399	1418370	+	972	2
NM_001180789.3	chrIV	1418550	1420250	-	1701	4
NM_001180790.3	chrIV	1420431	1420838	-	408	0
NM_001180791.1	chrIV	1421157	1422485	+	1329	22
NM_001180792.1	chrIV	1422763	1424688	+	1926	2
NM_001180793.3	chrIV	1424820	1427207	-	2388	6
NM_001180794.3	chrIV	1427431	1428120	-	690	10
NM_001180795.1	chrIV	1428354	1428980	-	627	12
NM_001180796.1	chrIV	1429188	1430789	-	1602	0
NM_001180797.3	chrIV	1431012	1431896	+	885	0
NM_001180798.3	chrIV	1431968	1434268	-	2301	2
NM_001180800.1	chrIV	1434924	1435874	+	951	10
NM_001180801.1	chrIV	1436217	1436588	+	372	0
NM_001180802.3	chrIV	1436930	1438015	+	1086	10
NM_001180803.3	chrIV	1438115	1441150	-	3036	0
NM_001180805.1	chrIV	1443713	1445467	-	1755	24
NM_001180806.3	chrIV	1445843	1446994	-	1152	2
NM_001180807.3	chrIV	1447830	1450073	+	2244	4
NM_001180808.1	chrIV;chrIV	1450198;1450847	1450457;1450853	-;-	267	26
NM_001180809.1	chrIV	1451353	1452918	+	1566	0
NM_001180810.3	chrIV	1453310	1454464	-	1155	46
NM_001180811.3	chrIV	1455042	1455866	-	825	2
NM_001180812.1	chrIV	1456311	1456694	-	384	0
NM_001180813.2	chrIV	1456695	1459220	-	2526	6
NM_001180814.3	chrIV	1459728	1461554	-	1827	0
NM_001180815.3	chrIV	1462358	1465786	-	3429	4
NM_001180816.1	chrIV	1466453	1468444	-	1992	20
NM_001180818.1	chrIV	1469400	1469705	+	306	2
NM_001180819.3	chrIV	1470017	1470418	+	402	2
NM_001180820.3	chrIV	1470500	1471063	-	564	0
NM_001180821.1	chrIV	1471017	1471448	+	432	3
NM_001180822.1	chrIV	1471548	1472999	-	1452	0
NM_001180823.3	chrIV	1473429	1474772	+	1344	4
NM_001180824.3	chrIV	1474974	1476476	-	1503	4
NM_001180825.1	chrIV	1477239	1478357	+	1119	6
NM_001180826.1	chrIV	1478608	1480161	+	1554	4
NM_001180827.3	chrIV	1480425	1480832	+	408	8
NM_001180828.3	chrIV	1481085	1483403	-	2319	2
NM_001180830.1	chrIV	1483795	1485303	-	1509	0
NM_001180831.1	chrIV	1485566	1487038	-	1473	0
NM_001180832.3	chrIV	1487542	1488990	-	1449	0
NM_001184632.3	chrIV	1489403	1489492	+	90	24
NM_001184631.1	chrIV	1489598	1489798	-	201	68
NM_001348819.1	chrIV	1489905	1490234	+	330	0
NM_001184329.1	chrIV	1490596	1490835	+	240	0
NM_001180835.4	chrIV	1491094	1492413	+	1320	10
NR_132162.1	chrIV	1492477	1493026	-	550	0
NM_001180836.3	chrIV	1494586	1495857	+	1272	2
NM_001180837.1	chrIV	1496165	1496548	-	384	27
NM_001180838.1	chrIV	1496791	1497768	-	978	2
NM_001180839.3	chrIV	1498232	1499335	+	1104	4
NM_001180840.3	chrIV	1499396	1500553	-	1158	2
NM_001180841.1	chrIV	1501447	1502160	-	714	8
NM_001180842.1	chrIV	1503314	1504900	-	1587	0
NM_001180844.3	chrIV	1508005	1509714	+	1710	2
NM_001180846.3	chrIV	1510902	1511630	+	729	0
NM_001180847.1	chrIV	1512094	1513605	+	1512	0
NM_001180848.1	chrIV	1517136	1517675	-	540	0
NM_001180849.4	chrIV	1519664	1520698	-	1035	20
NM_001180850.3	chrIV	1523249	1523611	+	363	0
NM_001180853.1	chrIV	1526321	1531711	+	5391	0
NM_001179470.1	chrIX	130610	131665	+	1056	2
NM_001179398.1	chrIX	261437	264892	+	3456	6
NM_001179541.3	chrIX	389572	393675	-	4104	36
NM_001179522.1	chrIX;chrIX	483;4987	4598;6147	-;-	5277	0
NM_001179521.1	chrIX	8793	9155	-	363	0
NM_001179519.1	chrIX	11492	16141	+	4650	0
NM_001179518.1	chrIX	16784	18553	-	1770	0
NM_001179517.1	chrIX	23119	26106	-	2988	8
NM_001179514.1	chrIX	30938	32566	-	1629	0
NM_001179513.1	chrIX	33718	34077	-	360	4
NM_001179512.1	chrIX	34087	34686	-	600	4
NM_001270749.1	chrIX	36899	37252	-	354	0
NM_001179510.1	chrIX	37385	38983	+	1599	0
NM_001179509.1	chrIX	39433	40140	+	708	6
NM_001179508.1	chrIX	40191	41444	-	1254	2
NM_001179507.1	chrIX	41825	45952	+	4128	0
NM_001179506.3	chrIX	46201	46815	+	615	4
NM_001179505.1	chrIX	46949	47542	-	594	0
NM_001184521.1	chrIX;chrIX	47690;47761	47698;47973	+;+	222	2
NM_001179504.1	chrIX	48091	51306	+	3216	0
NM_001179503.1	chrIX	51759	53708	-	1950	2
NM_001179502.3	chrIX	53981	55021	-	1041	0
NM_001179501.1	chrIX	55198	56379	+	1182	2
NM_001179500.1	chrIX	56545	57252	+	708	0
NM_001179499.1	chrIX	57338	60694	-	3357	6
NM_001179498.1	chrIX	61013	62728	-	1716	4
NM_001179497.3	chrIX	63028	68067	-	5040	10
NM_001179496.1	chrIX;chrIX	68708;69150	68715;69528	+;+	387	48
NM_001179495.1	chrIX	69791	73453	-	3663	0
NM_001179494.1	chrIX	74184	75773	-	1590	2
NM_001179493.1	chrIX	76354	77283	-	930	0
NM_001179492.3	chrIX	78074	80149	+	2076	4
NM_001179491.1	chrIX	80510	83041	-	2532	5
NM_001179490.1	chrIX	83302	84885	+	1584	14
NM_001179488.1	chrIX	85366	87837	+	2472	0
NM_001179487.1	chrIX	87979	88716	-	738	2
NM_001179486.3	chrIX	89230	89715	-	486	4
NM_001179485.1	chrIX	89948	92788	-	2841	2
NM_001179484.1	chrIX	93619	94800	+	1182	2
NM_001179483.1	chrIX	95065	96375	-	1311	4
NM_001184555.1	chrIX	96522	96725	-	204	0
NR_132190.1	chrIX	97111	97246	+	136	0
NM_001179482.3	chrIX	97395	98330	+	936	4
NM_001179481.1	chrIX;chrIX	98527;99386	99095;99416	-;-	600	30
NM_001179480.1	chrIX	99860	100501	-	642	0
NM_001179479.1	chrIX	100781	102235	-	1455	2
NM_001179478.1	chrIX	102782	105676	+	2895	2
NM_001179477.3	chrIX	106107	113237	-	7131	4
NM_001179476.1	chrIX	113806	116904	+	3099	4
NM_001179475.1	chrIX	117024	117644	-	621	2
NM_001179474.1	chrIX	117992	122071	+	4080	0
NM_001179473.1	chrIX	122689	125733	+	3045	10
NM_001179472.3	chrIX	126204	127097	+	894	0
NM_001179471.2	chrIX	128151	129581	+	1431	4
NM_001179469.1	chrIX	132244	133872	+	1629	0
NM_001179468.1	chrIX	134417	136108	+	1692	2
NM_001179467.3	chrIX	136654	137877	-	1224	2
NM_001179466.1	chrIX	139752	140447	+	696	6
NM_001179465.1	chrIX	140613	141569	-	957	0
NM_001179464.1	chrIX	142928	144085	+	1158	10
NM_001179463.1	chrIX	144327	148709	-	4383	2
NM_001179462.3	chrIX	149143	149988	-	846	0
NM_001179461.1	chrIX	150559	151188	+	630	2
NM_001179460.1	chrIX	151595	154846	+	3252	2
NM_001179459.1	chrIX;chrIX	155222;155311	155222;155765	+;+	456	2
NM_001179458.1	chrIX	156045	157178	+	1134	4
NM_001179457.3	chrIX	157385	160165	-	2781	16
NM_001179456.1	chrIX	160887	162977	+	2091	8
NM_001179455.1	chrIX	163278	165761	-	2484	2
NM_001179454.1	chrIX;chrIX	166415;166520	166434;167444	+;+	945	6
NM_001179453.1	chrIX	167581	169641	-	2061	2
NM_001270750.1	chrIX	167664	167804	+	141	0
NM_001179452.3	chrIX	169982	171505	-	1524	2
NM_001179451.1	chrIX	171751	173028	+	1278	9
NM_001184686.1	chrIX	173365	173592	-	228	0
NM_001179450.1	chrIX	174582	174887	-	306	0
